cve,status,clientClass,budget,bestFitness,iterations
CVE-2015-2156,UNREACHABLE,null,120,null,null
CVE-2017-7957 ,UNREACHABLE,null,120,null,null
CVE-2018-15756,UNREACHABLE,null,120,null,null
CVE-2018-1000632,UNREACHABLE,null,120,null,null
CVE-2018-1002201,UNREACHABLE,null,120,null,null
CVE-2019-10086,UNREACHABLE,null,120,null,null
CVE-2020-5408,UNREACHABLE,null,120,null,null
CVE-2020-13956,UNREACHABLE,null,120,null,null
CVE-2020-13973,UNREACHABLE,null,120,null,null
CVE-2020-26217,UNREACHABLE,null,120,null,null
CVE-2021-23899,UNREACHABLE,null,120,null,null
CVE-2021-23900,UNREACHABLE,null,120,null,null
CVE-2021-27568,UNREACHABLE,null,120,null,null
CVE-2021-31812,UNREACHABLE,null,120,null,null
CVE-2021-35516,UNREACHABLE,null,120,null,null
CVE-2021-43859,UNREACHABLE,null,120,null,null
CVE-2022-22976,UNREACHABLE,null,120,null,null
CVE-2022-23596,UNREACHABLE,null,120,null,null
CVE-2022-25845,UNREACHABLE,null,120,null,null
CVE-2022-29631,UNREACHABLE,null,120,null,null
CVE-2022-41966,UNREACHABLE,null,120,null,null
CVE-2022-42004,UNREACHABLE,null,120,null,null
CVE-2023-1370,UNREACHABLE,null,120,null,null
CVE-2023-34453,UNREACHABLE,null,120,null,null
CVE-2023-43642,UNREACHABLE,null,120,null,null
IO-611,UNREACHABLE,null,120,null,null
LANG-1645,UNREACHABLE,null,120,null,null
Zip4j-263,UNREACHABLE,null,120,null,null
